unix,open,volume_btc,volume_eur,7_days_a,30_days_a,90_days_a,next_day_value,next_week_value
1487808000,1066.07,1002873.25,919.33,13.65,6.13,3.14,1115.0,1176.0
1487894400,1114.72,1722943.57,1563.08,14.91,6.44,3.19,1100.0,1201.0
1487980800,1116.16,680392.1,619.01,20.37,6.84,3.27,1094.0,1201.0
1488067200,1083.47,302951.82,276.67,23.32,7.13,3.34,1115.0,1189.0
1488153600,1105.16,434190.44,390.11,18.73,7.21,3.37,1122.0,1194.0
1488240000,1125.0,813530.76,726.33,12.37,7.35,3.42,1138.0,1188.0
1488326400,1118.89,940124.76,825.0,8.32,7.52,3.48,1176.0,1127.0
1488412800,1157.0,1235792.81,1049.98,6.0,7.52,3.53,1201.0,1107.0
1488499200,1194.57,1209691.22,1002.2,6.21,7.67,3.6,1201.0,1089.0
1488585600,1206.99,781379.64,659.97,14.14,8.21,3.71,1189.0,1076.0
1488672000,1194.38,343373.09,290.33,20.76,8.8,3.82,1194.0,1129.0
1488758400,1184.03,691355.03,575.25,18.12,9.35,3.91,1188.0,1158.0
1488844800,1203.18,1740416.83,1488.98,13.5,9.74,3.98,1127.0,1169.0
1488931200,1172.32,1743747.57,1550.68,10.95,10.23,4.05,1107.0,1171.0
1489017600,1080.71,1131334.39,1012.45,1.44,10.3,4.1,1089.0,1129.0
1489104000,1132.98,3981573.99,3633.44,-14.36,9.75,4.08,1076.0,1041.0
1489190400,1046.0,1401628.8,1271.81,-16.47,9.74,4.1,1129.0,940.0
1489276800,1106.47,830055.83,732.07,-23.92,9.08,4.05,1158.0,911.0
1489363200,1152.0,1066757.71,922.52,-20.94,8.37,4.03,1169.0,951.0
1489449600,1164.99,870210.94,746.64,-11.43,7.97,4.05,1171.0,992.0
1489536000,1172.75,1219894.93,1038.69,3.36,7.63,4.07,1129.0,982.0
1489622400,1169.99,2007516.43,1798.41,15.93,7.22,4.09,1041.0,947.0
1489708800,1088.18,2899338.54,2797.66,15.11,6.7,4.1,940.0,904.0
1489795200,994.1,3035535.63,3243.17,9.8,5.64,4.06,911.0,870.0
1489881600,884.99,1843942.43,1969.59,-16.42,3.92,3.94,951.0,882.0
1489968000,936.61,1169754.82,1218.89,-43.83,1.62,3.74,992.0,920.0
1490054400,965.0,1902293.06,1891.25,-51.31,-0.2,3.58,982.0,959.0
1490140800,1018.0,1860725.77,1951.76,-46.19,-1.8,3.44,947.0,953.0
